headline,abstract,lead paragraph,first keyword,type of material,lead paragraph keywords,Main Keywords lead paragraph (tf- idf),abstract keywords,Main Keywords abstract (tf- idf),headline keywords,Main Keywords headline (tf- idf)
Could You Go a Year Without a Smartphone?,What could you accomplish if you gave up your phone for a year?,Do you own a smartphone? How often do you use it?,,News,"smartphone, often, use",['smartphon'],"could, accomplish, gave","['phone', 'year']","could, go, year","['year', 'smartphon']"
No More Brace Face? Teens Increasingly Use Clear Aligners,"As treatment with aligners moves from the adult to the younger market, orthodontists are treating more children without traditional wire braces.","When Carly Feinstein was in ninth grade, her dentist sent her to an orthodontist.",Teeth and Dentistry,News,"carly, feinstein, ninth","['feinstein', 'dentist', 'orthodontist']","treatment, aligners, move","['treatment', 'align', 'move', 'adult', 'market', 'orthodontist', 'child', 'wire', 'brace']","brace, face, teen","['face', 'teen', 'align']"
Poetry to Tap Into Women’s Spiritual Sides,"Brief, beautiful poems about human psychology and the natural world.","Dear Match Book,",Books and Literature,News,"dear, match, book","['match', 'book']","brief, beautiful, poem","['poem', 'psycholog', 'world']","poetry, tap, woman","['poetri', 'woman', 'side']"
How Cities Make Money by Fining the Poor,"In many parts of America, like Corinth, Miss., judges are locking up defendants who can’t pay — sometimes for months at a time.","On a muggy afternoon in October 2017, Jamie Tillman walked into the public library in Corinth, Miss., and slumped down at one of the computers on the ground floor. In recent years, Tillman, who is slight and freckled, with reddish blond hair that she often wears piled atop her head, had been drifting from her hometown, Nashville — first to southern Tennessee, to be with a boyfriend and their infant son, and then, after she and the boyfriend split, across the state border to Corinth to look for work. The town, to Tillman, represented a chance for a turnaround. If she was able to get a part-time job at a big-box store, she could put a deposit on a rental apartment and see a psychiatrist for what she suspected was bipolar disorder. She could take steps toward regaining custody of her son from her boyfriend’s mother. “I needed to support myself,” she told me recently. But potential employers weren’t calling her back, and Tillman was exhausted. In the hushed calm of the library, she closed her eyes and fell asleep.",Fines (Penalties),News,"tillman, boyfriend, library","['afternoon', 'jami', 'tillman', 'librari', 'miss', 'comput', 'ground', 'floor', 'year', 'tillman', 'blond', 'hair', 'head', 'nashvil', '—', 'tennesse', 'boyfriend', 'son', 'boyfriend', 'split', 'state', 'border', 'work', 'town', 'chanc', 'turnaround', 'job', 'bigbox', 'store', 'deposit', 'apart', 'psychiatrist', 'disord', 'step', 'custodi', 'son', 'boyfriend', '’', 'mother', '“', 'employ', 'back', 'tillman', 'calm', 'librari', 'eye']","many, part, america","['part', 'america', 'judg', 'defend', 'pay', '—', 'month', 'time']","city, make, money","['citi', 'money']"
How to Make a Millennial Feel Cozy in Just One Beverage,CBD? Check. Bubbles? Check. Ironic fonts? Check. The aggressive marketing of commodified wellness? Oh yes.,"Ease, comfort, and pleasure are what millennials, those members of the high-anxiety “Doom Generation,” really want — and capitalism is into it. A new beverage called Recess is a case study in where those desires meet. Bubbles? Yes. CBD? Check. Sans-serif block font? Yeah! A knowing, nudging, creepily on-point Instagram presence? Obviously.",Millennial Generation,News,"ease, comfort, pleasure","['ea', 'comfort', 'pleasur', 'millenni', 'member', 'highanxieti', '“', 'doom', 'gener', '”', '—', 'capit', 'beverag', 'recess', 'case', 'studi', 'desir', 'bubbl', 'block', 'font', 'instagram', 'presenc']","check, cbd, bubble","['cbd', 'check', 'bubbl', 'font', 'market', 'well', 'ye']","make, millennial, feel","['feel', 'cozi', 'beverag']"
Democrats Took Control of Albany. Here Are 5 Issues That Will Test Their Leadership.,"The new legislative session kicked off on Wednesday, with Democrats in control of the Legislature and the governor’s office. But big fights still await.","ALBANY — The words “Albany” and “lively” are not often used together, but on Wednesday, the first day of the year’s legislative session, the halls of the New York State Capitol were roaring.",State Legislatures,News,"albany, word, lively","['albani', 'word', '”', '“', 'day', 'year', '’', 'session', 'hall', 'york', 'state', 'capitol']","new, legislative, session","['session', 'wednesday', 'democrat', 'control', 'legislatur', 'governor', '’', 'offic', 'fight']","democrat, took, control","['democrat', 'control', 'albani', 'issu', 'leadership']"
Athletic Bilbao Is Flush With Cash and Facing Relegation,"Bilbao remains loyal to its mission to field only Basque players. After losing stars to bigger clubs, it has a lot of money, but needs wins.","BILBAO, Spain — Europe’s midseason soccer transfer window is open this month. For teams battling relegation, and potential financial ruin, it brings a last, vital chance to strengthen a leaky defense or fortify a goal-shy forward line ahead of the second half of the season.",Soccer,News,"bilbao, spain, europe","['bilbao', 'spain', '—', 'europ', '’', 'midseason', 'soccer', 'transfer', 'window', 'month', 'team', 'releg', 'ruin', 'chanc', 'defens', 'forward', 'line', 'half', 'season']","bilbao, remains, loyal","['bilbao', 'mission', 'field', 'basqu', 'player', 'star', 'club', 'lot', 'money', 'win']","athletic, bilbao, flush","['bilbao', 'cash', 'releg']"
The Limits to Democratic Actions Against Trump,"Impeachment? Tax returns? Jail time? The Democrat-controlled House of Representatives will no doubt investigate many aspects of Mr. Trump’s administration and life. But some of its most aggressive goals will be difficult, if not unlikely, to achieve. ","With the House of Representatives now under Democratic control and the gavel in Speaker Nancy Pelosi’s hands, some of President Trump’s critics are eagerly anticipating a surge of congressional investigations.",United States Politics and Government,News,"house, representative, democratic","['hous', 'repres', 'control', 'gavel', 'speaker', 'nanci', 'pelosi', '’', 'presid', 'trump', '’', 'critic', 'surg', 'investig']","impeachment, tax, return","['tax', 'return', 'jail', 'time', 'hous', 'repres', 'doubt', 'aspect', 'trump', '’', 'administr', 'life', 'goal']","limit, democratic, action","['limit', 'action', 'trump']"
U.S. Carbon Emissions Surged in 2018 Even as Coal Plants Closed,"America’s carbon dioxide emissions rose by 3.4 percent in 2018, the biggest increase in eight years.","WASHINGTON — America’s carbon dioxide emissions rose by 3.4 percent in 2018, the biggest increase in eight years, according to a preliminary estimate published Tuesday.",Global Warming,News,"washington, america, carbon","['washington', '—', 'america', '’', 'carbon', 'dioxid', 'emiss', 'percent', 'increas', 'year', 'estim', 'tuesday']","america, carbon, dioxide","['america', '’', 'carbon', 'dioxid', 'emiss', 'percent', 'increas', 'year']","u, carbon, emission","['emiss', 'coal', 'plant']"
Why Do We Obsess Over What’s ‘Relatable’?,"We praise our literature, television shows and politicians for reminding us of us — but do we really want to see ourselves everywhere we look?","It is known that during an election season, a flock of politicians will migrate to local pubs, greasy spoons and fried-Oreo stands at county fairs in an attempt to appear more normal. The wool suits will be replaced with casual windbreakers, joggers will be worn with wingtips and the Democratic congressman Beto O’Rourke will do an absolutely sick 360 boneless in a Whataburger parking lot.",Art,News,"known, election, season","['elect', 'season', 'flock', 'politician', 'pub', 'spoon', 'stand', 'counti', 'fair', 'attempt', 'wool', 'suit', 'windbreak', 'jogger', 'wingtip', 'congressman', 'beto', '’', 'rourk', 'boneless', 'whataburg', 'park', 'lot']","u, praise, literature","['literatur', 'televis', 'show', 'politician']","ob, relatable","['’', '‘', '’']"
"Three Sisters, an Island and an Apocalyptic Tale of Survival","In Sophie Mackintosh’s debut novel, “The Water Cure,” Lia, Grace and Sky — living off the grid with their abusive parents — have been raised to fear men.",THE WATER CURE By Sophie Mackintosh 269 pp. Doubleday. $25.95.,Books and Literature,Review,"water, cure, sophie","['water', 'cure', 'mackintosh', 'pp']","sophie, mackintosh, debut","['mackintosh', '’', 'debut', 'water', 'cure', '”', 'grace', 'sky', '—', 'grid', 'parent', 'men']","three, sister, island","['sister', 'island', 'tale', 'surviv']"
Rebooting the Bathroom,"Installing new tile might not be the easiest way to refresh your bathroom, but it can be the most effective.","To update a bathroom, you could swap out the cabinet pulls and switch the faucet. But if you’re ready for a bigger change, almost nothing is more effective than new tile.",Real Estate and Housing (Residential),News,"update, bathroom, could","['bathroom', 'cabinet', 'pull', 'faucet', 'chang', 'noth', 'tile']","installing, new, tile","['tile', 'way', 'bathroom']","rebooting, bathroom",['bathroom']
"German Man Confesses to Hacking Politicians’ Data, Officials Say","The 20-year-old said he had acted alone in publishing private information of hundreds of lawmakers and others, the authorities said.","BERLIN — A 20-year-old German student took advantage of passwords as weak as “Iloveyou” and “1234” to hack into online accounts of hundreds of lawmakers and personalities whose political stances he disliked, officials revealed Tuesday, shaking Berlin’s political establishment and raising questions about data security in Europe’s leading economy.",Cyberattacks and Hackers,News,"berlin, political, 20","['berlin', 'student', 'advantag', 'password', '“', 'ilovey', '”', '”', 'account', 'hundr', 'lawmak', 'person', 'stanc', 'offici', 'berlin', 'establish', 'question', 'data', 'secur', 'europ', '’', 'economi']","said, 20, year","['inform', 'hundr', 'lawmak', 'other', 'author']","german, man, confesses","['man', 'politician', 'data', 'offici']"
"Donald Trump, Gavin Newsom, Clemson: Your Tuesday Briefing",Here’s what you need to know.,(Want to get this briefing by email? Here’s the sign-up.),,briefing,"want, get, briefing","['want', 'brief', 'email', '’', 'signup']","need, know",[],"donald, trump, gavin","['trump', 'gavin', 'clemson', 'tuesday', 'brief']"
It Takes a Mosquito to Fight a Mosquito,"In Australia, China and elsewhere, scientists are fighting disease-carrying mosquitoes by introducing another type, carrying just a harmless form of bacteria.","After humans, mosquitoes are the most dangerous animals on the planet. For much of the world, a mosquito bite can mean serious illness or death from malaria, yellow fever, chikungunya, Zika and dengue.",Zika Virus,Op-Ed,"mosquito, human, dangerous","['human', 'mosquito', 'anim', 'planet', 'world', 'bite', 'ill', 'death', 'malaria']","carrying, australia, china","['china', 'scientist', 'mosquito', 'type', 'carri', 'form', 'bacteria']","mosquito, take, fight","['mosquito', 'mosquito']"
Two Women Enter a Temple. A Country Erupts.,"The debate over whether women of childbearing age can visit a shrine in southern India has become a battle involving caste, gender, party politics and history.","MUMBAI, India — Every year, for 41 days in November and December, millions of barefoot pilgrims dressed in black and carrying bundles of offerings on their heads trek through the deep forest along the Pampa River and up the Sabari hills in the southern state of Kerala. At one of the summits is a shrine dedicated to the Hindu god Ayyappan, who, in his avatar as a prince, is often said to have defeated a terrifying demoness at this very spot.",Discrimination,Op-Ed,"mumbai, india, every","['mumbai', 'india', '—', 'year', 'day', 'novemb', 'million', 'barefoot', 'pilgrim', 'bundl', 'offer', 'head', 'forest', 'pampa', 'river', 'sabari', 'hill', 'state', 'kerala', 'summit', 'shrine', 'hindu', 'god', 'ayyappan', 'avatar', 'princ', 'demo', 'spot']","debate, whether, woman","['debat', 'woman', 'age', 'shrine', 'india', 'battl', 'cast', 'gender', 'parti', 'polit', 'histori']","two, woman, enter","['woman', 'templ', 'countri', 'erupt']"
N.Y. Today: The Democrats’ Long Albany Wish List,"One lawmaker wants to remove Trump’s name from a state park. Another wants a longer waiting period before buying a gun. Also, how to get rid of your Christmas tree.", [Want to get New York Today by email? Here's the sign-up.],New York City,briefing,"want, get, new","['want', 'york', 'today', 'email', 'here', 'signup']","want, one, lawmaker","['lawmak', 'trump', '’', 'name', 'state', 'park', 'period', 'gun', 'christma']","n, today, democrat","['today', 'democrat', 'list']"
What’s Next for Fleeing Saudi Woman?,A look at the path ahead for Rahaf Mohammed Alqunun as a United Nations agency decides whether she qualifies for protection as a refugee.,"BANGKOK — Rahaf Mohammed Alqunun, the 18-year-old Saudi woman who fled her family and avoided deportation from Thailand by barricading herself in an airport hotel room and posting about her plight on social media, spent her first day of freedom in Bangkok on Tuesday.",Saudi Arabia,News,"bangkok, rahaf, mohammed","['bangkok', '—', 'rahaf', 'woman', 'famili', 'deport', 'thailand', 'hotel', 'room', 'plight', 'medium', 'day', 'freedom', 'bangkok', 'tuesday']","look, path, ahead","['look', 'path', 'rahaf', 'nation', 'agenc', 'protect', 'refuge']","next, fleeing, saudi",['woman']
U.S. Downgraded E.U.’s Diplomatic Status (but Didn’t Say Anything),"The Trump administration didn’t formally announce the move or tell the bloc, which was left to figure it out on its own.","BRUSSELS — The Trump administration downgraded the diplomatic status of the European Union’s delegation to the United States last year without making a formal announcement or informing the bloc about the change, a European official said on Tuesday.",United States International Relations,News,"european, brussels, trump","['brussel', 'trump', 'administr', 'statu', 'union', '’', 'deleg', 'state', 'year', 'announc', 'bloc', 'chang', 'offici', 'tuesday']","trump, administration, formally","['trump', 'administr', '’', 'move', 'bloc']","u, downgraded, e","['eu', '’', 'statu', 'anyth']"
Myanmar Vows to ‘Crush’ Insurgents Who Attacked Police Stations,Fighting between Myanmar’s military and an insurgent group called the Arakan Army has displaced thousands of civilians in the western state of Rakhine.,"Myanmar says its army will “crush” an insurgent group that attacked four police stations in a western border region last week, the latest escalation in a tangle of slow-burning civil wars between the government and armed ethnic insurgencies.",Defense and Military Forces,News,"myanmar, say, army","['myanmar', 'armi', 'crush', 'insurg', 'group', 'polic', 'station', 'border', 'region', 'week', 'escal', 'tangl', 'war', 'govern', 'insurg']","fighting, myanmar, military","['myanmar', '’', 'militari', 'insurg', 'group', 'arakan', 'armi', 'thousand', 'civilian', 'state', 'rakhin']","myanmar, vow, crush","['myanmar', 'vow', 'crush', 'insurg', 'polic', 'station']"
"With Kim’s Visit, China Shows U.S. It Has Leverage on Trade",The softening Chinese economy has weakened Beijing’s hand as it struggles to settle the trade war. Its pull with North Korea could strengthen its position.,"SHANGHAI — China’s leader, Xi Jinping, has offered carrots to President Trump to stop a trade war that has contributed to a sharp slowdown in the Chinese economy. On Tuesday, he also seemed to brandish a stick.",China,News,"shanghai, china, leader","['shanghai', '—', 'china', '’', 'leader', 'xi', 'jinp', 'carrot', 'presid', 'trump', 'trade', 'war', 'slowdown', 'economi', 'tuesday', 'stick']","softening, chinese, economy","['economi', '’', 'hand', 'trade', 'war', 'pull', 'korea', 'posit']","kim, visit, china","['’', 'visit', 'china', 'trade']"
Lin-Manuel Miranda and Friends Purchase Drama Book Shop,"After the bookstore announced it was being forced from its home by rising rents, Mr. Miranda teamed up with “Hamilton” associates and the city on a rescue plan.","Lin-Manuel Miranda is already a composer, a lyricist, an actor and an author. Now he’s going to be a bookseller.",Theater,News,"lin, manuel, miranda","['linmanuel', 'miranda', 'compos', 'lyricist', 'actor', 'author', 'booksel']","bookstore, announced, forced","['bookstor', 'home', 'rent', 'miranda', '“', 'hamilton', '”', 'associ', 'citi', 'rescu', 'plan']","lin, manuel, miranda","['linmanuel', 'miranda', 'friend', 'drama', 'book', 'shop']"
"Man With Hammer Attacks Schoolchildren in Beijing, Injuring 20",Officials said a maintenance worker at the school had been taken into custody. None of the children’s injuries were said to be life-threatening.,"HONG KONG — A man attacked and injured 20 children with a hammer on Tuesday at an elementary school in Beijing, the local authorities said.",Beijing (China),News,"hong, kong, man","['man', 'child', 'hammer', 'tuesday', 'school', 'author']","said, official, maintenance","['offici', 'mainten', 'worker', 'school', 'custodi', 'none', 'child', 'injuri']","man, hammer, attack","['man', 'attack']"
"Weekly News Quiz for Students: Government Shutdown, Golden Globes, Space Exploration",How well did you follow the news this past week? How many of these 10 questions can you get right?,How well did you follow the news this past week? How many of these 10 questions can you get right?,,Interactive Feature,"well, follow, news","['news', 'week', 'question']","well, follow, news","['news', 'week', 'question']","weekly, news, quiz","['news', 'quiz', 'student', 'govern', 'globe', 'space', 'explor']"
Clemson’s Gutsy Call at Quarterback Brings Another Championship,"Dabo Swinney substituted a freshman for a proven starter at a key moment for Clemson, and that made Clemson No. 1. Sound familiar?","Three years ago, after Clemson defeated college football’s signature team, Notre Dame, through a South Carolina downpour, Coach Dabo Swinney coined a kind of motto for his program, describing the attitude that would bring the second school of a smallish Southern state to the sport’s heights.",Football (College),News,"three, year, ago","['year', 'clemson', 'colleg', 'footbal', '’', 'signatur', 'team', 'notr', 'dame', 'downpour', 'coach', 'dabo', 'swinney', 'kind', 'motto', 'program', 'attitud', 'school', 'state', 'sport', '’', 'height']","clemson, dabo, swinney","['dabo', 'swinney', 'freshman', 'starter', 'moment', 'clemson', 'clemson', 'sound']","clemson, gutsy, call","['clemson', '’', 'call', 'quarterback', 'championship']"
Commercial Real Estate Transactions,Recent commercial real estate transactions in New York.,$12.95 MILLION,Real Estate and Housing (Residential),News,"12, 95, million",[],"recent, commercial, real","['estat', 'transact', 'york']","commercial, real, estate","['estat', 'transact']"
"Carlos Ghosn, Emerging in Public, Lays Out His Defense","The embattled former Nissan chief, who could remain in a Tokyo jail for months, says his actions were approved by other executives and directors.","TOKYO — Carlos Ghosn and his lawyers are laying out the most comprehensive case yet for his innocence, nearly two months after his arrest shook the auto business and tarnished his reputation as an industry titan.","Ghosn, Carlos",News,"tokyo, carlos, ghosn","['tokyo', '—', 'carlo', 'ghosn', 'lawyer', 'case', 'innoc', 'month', 'arrest', 'auto', 'busi', 'reput', 'industri', 'titan']","embattled, former, nissan","['chief', 'jail', 'month', 'action', 'execut', 'director']","carlos, ghosn, emerging","['carlo', 'ghosn', 'lay', 'defens']"
Trump’s Overhyped Speech,"Also, the fight over gerrymandering moves to the next stage, and it’s a worrisome one.",This article is part of the David Leonhardt newsletter. You can sign up here to receive the newsletter each weekday.,Redistricting and Reapportionment,Op-Ed,"newsletter, article, part","['articl', 'part', 'david', 'leonhardt', 'newslett', 'newslett', 'weekday']","also, fight, gerrymandering","['fight', 'move', 'stage', '’', 'worrisom']","trump, overhyped, speech","['trump', '’', 'speech']"
How PG&E Lobbied for Wildfire Protection,Tuesday: Why utility companies have spent big on lobbying in Sacramento; Newsom stakes his claim; a teachers’ strike is looming,Good morning.,,briefing,"good, morning",['morn'],"tuesday, utility, company","['tuesday', 'util', 'compani', 'sacramento', 'newsom', 'claim', 'teacher', 'strike']","pg, e, lobbied","['wildfir', 'protect']"
"How Clemson Won the National Championship, Drive by Drive","Both teams traded touchdowns early, but the Tigers’ offense, led by two true freshmen, soon took over and buried Alabama.","Here’s how Clemson beat Alabama, 44-16, in the national championship game, drive by drive:",Football (College),News,"drive, clemson, beat","['’', 'beat', 'alabama', 'championship', 'game', 'drive', 'drive']","team, traded, touchdown","['team', 'touchdown', 'tiger', 'offens', 'freshman', 'alabama']","drive, clemson, national","['championship', 'drive', 'drive']"
May I Cut My Daughter Out of My Life?,"The magazine’s Ethicist columnist on whether a parent can cut off contact with a difficult child, when a parent can break a child’s confidence and more.","I am the parent of a high school student with multiple issues. Her learning disabilities and mild autism are dwarfed by a severe mood disorder that has forced our family to endure daily hourslong tantrums that have disturbed neighbors and drawn the police. Triggers are typically minor, like being asked to tidy her room. She’s attractive and physically healthy, has an average I.Q. and has a sibling who has suffered greatly.",Parenting,News,"parent, high, school","['parent', 'school', 'student', 'issu', 'disabl', 'autism', 'mood', 'disord', 'famili', 'hourslong', 'tantrum', 'neighbor', 'polic', 'trigger', 'room', 'iq', 'sibl']","parent, child, magazine","['magazin', '’', 'ethicist', 'columnist', 'parent', 'contact', 'child', 'parent', 'child', '’', 'confid']","may, cut, daughter","['daughter', 'life']"
Judge John Hodgman on Giving Fake Names to Sweatshirts,"O.K., remember “The Fugitive”?","AJ writes: For years I’ve used the word “Kimble” to refer to zip-front sweatshirts, because this is what Harrison Ford wore when he portrayed Dr. Richard Kimble in “The Fugitive.” My sons grew up using this word, too. But recently I was bragging to a friend about my coinage, and my youngest, now 18, was aghast to learn that I had made it up. Not only does he now reject “Kimble,” he also rejects my attempts to educate him on any topic, at any time.","Jones, Tommy Lee",News,"kimble, word, reject","['aj', 'year', 'word', '“', '”', 'sweatshirt', 'harrison', 'ford', 'richard', 'kimbl', '“', '”', 'son', 'word', 'friend', 'coinag', '“', '”', 'attempt', 'topic', 'time']","k, remember, fugitive",['”'],"judge, john, hodgman","['judg', 'john', 'hodgman', 'name', 'sweatshirt']"
Turkish President Snubs Bolton Over Comments That Turkey Must Protect Kurds,"The storm around the visit by John R. Bolton, the American national security adviser, to Turkey showed how far apart the countries are on how to handle a U.S. withdrawal from Syria.","ISTANBUL — President Trump’s muddled plan to withdraw the United States from Syria fell into further disarray on Tuesday after Turkey’s leader rebuffed Mr. Trump’s emissary, John R. Bolton, and angrily dismissed his demand that Turkey agree to protect America’s Kurdish allies.",Turkey,News,"trump, turkey, istanbul","['—', 'presid', 'trump', '’', 'plan', 'state', 'syria', 'disarray', 'tuesday', 'leader', 'trump', '’', 'john', 'r', 'bolton', 'demand', '’', 'alli']","storm, around, visit","['storm', 'visit', 'john', 'r', 'secur', 'advis', 'countri', 'withdraw', 'syria']","turkish, president, snub","['presid', 'snub', 'comment', 'turkey', 'kurd']"
Far-Right Lawmaker in Germany Is Severely Beaten in Street Attack,Officials with Alternative for Germany said they believed the assault on Frank Magnitz was politically motivated.,"BERLIN — Three men attacked a lawmaker from the far-right party Alternative for Germany, the police said Tuesday, leaving the official with serious injuries to his head and upper body.","Magnitz, Frank",News,"berlin, three, men","['berlin', '—', 'men', 'lawmak', 'parti', 'altern', 'germani', 'polic', 'offici', 'injuri', 'head', 'bodi']","official, alternative, germany","['offici', 'germani', 'assault', 'frank', 'magnitz']","far, right, lawmaker","['lawmak', 'germani', 'street', 'attack']"
Some Workers Need Jobs as Much as Builders Need Workers. Cities Connect Them.,"In tight labor markets, developers and local leaders are using major projects to provide residents with careers in construction.","A year ago, Jeromy Gaviola was struggling to find steady and meaningful work in San Francisco. Living in the working-class neighborhood of Hunters Point, he heard about a program that was training residents to build the Chase Center, the $1 billion, 18,000-seat arena in Mission Bay that will be the new home of the Golden State Warriors when it opens this fall.",Labor and Jobs,News,"year, ago, jeromy","['year', 'gaviola', 'work', 'francisco', 'live', 'workingclass', 'neighborhood', 'hunter', 'program', 'resid', 'chase', 'center', 'arena', 'mission', 'bay', 'home', 'state', 'warrior', 'fall']","tight, labor, market","['labor', 'market', 'develop', 'leader', 'project', 'resid', 'career', 'construct']","worker, need, job","['worker', 'job', 'builder', 'worker', 'citi']"
China Offers Trump a Trade Peace Deal. It May Not Be Enough.,"Beijing’s proposed concessions may help both sides, but may not alleviate the tensions fueling its economic conflict with the United States.","BEIJING — China is buying American soybeans again and has cut tariffs on American cars. It is offering to keep its hands off valuable corporate secrets, while also allowing foreign investors into more industries than ever before.",China,News,"american, beijing, china","['china', 'soybean', 'tariff', 'car', 'hand', 'secret', 'investor', 'industri']","may, beijing, proposed","['’', 'concess', 'side', 'tension', 'conflict', 'state']","china, offer, trump","['china', 'offer', 'trade', 'peac', 'deal']"
Stocks Rise as Investors See Signs of Progress in Trade Talks,"The talks, by midlevel government officials, are aimed at reaching an agreement that could end a trade war between the two countries.","Stocks added to a streak of recent gains on Tuesday, as investors anticipated progress in trade-deal negotiations between the United States and China.",Stocks and Bonds,News,"stock, added, streak","['stock', 'streak', 'gain', 'tuesday', 'investor', 'progress', 'negoti', 'state', 'china']","talk, midlevel, government","['talk', 'govern', 'offici', 'agreement', 'trade', 'war', 'countri']","stock, rise, investor","['stock', 'investor', 'sign', 'progress', 'trade', 'talk']"
"Veselnitskaya, Russian in Trump Tower Meeting, Is Charged in Case That Shows Kremlin Ties","Natalia V. Veselnitskaya, who met with Trump campaign officials in 2016, helped draft Russia’s response in an unrelated money-laundering case, prosecutors said.",[What you need to know to start the day: Get New York Today in your inbox.],"Veselnitskaya, Natalia",News,"need, know, start","['day', 'york', 'today', 'inbox']","natalia, v, veselnitskaya","['v', 'veselnitskaya', 'trump', 'campaign', 'offici', 'draft', 'russia', '’', 'respons', 'moneylaund', 'case', 'prosecutor']","veselnitskaya, russian, trump","['veselnitskaya', 'russian', 'trump', 'tower', 'meet', 'case', 'kremlin', 'tie']"
De Blasio Unveils Health Care Plan for Undocumented and Low-Income New Yorkers,"The mayor’s announcement, first on national television, came as the Democrat-controlled State Legislature is weighing some form of universal health insurance.",[What you need to know to start the day: Get New York Today in your inbox.],Health Insurance and Managed Care,News,"need, know, start","['day', 'york', 'today', 'inbox']","mayor, announcement, first","['mayor', '’', 'announc', 'televis', 'state', 'legislatur', 'form', 'health', 'insur']","de, blasio, unveils","['health', 'care', 'plan', 'yorker']"
"From Paralysis to Motherhood, She Never Gave Up","A car accident left Katie Morillo paralyzed from the waist down when she was 20, but she sees a world of opportunity for herself and her daughter.",Katie Morillo used to be a rushing New York commuter. She knows all too well that people are trying to get where they’re going as quickly as possible — and are easily frustrated by anything that slows them down.,New York Times Neediest Cases Fund,News,"katie, morillo, used","['kati', 'morillo', 'york', 'commut', 'peopl', '—', 'anyth']","car, accident, left","['car', 'accid', 'morillo', 'waist', 'world', 'opportun', 'daughter']","paralysis, motherhood, never",['paralysi']
210-Foot Fatberg Blocks Sewers of English Seaside Town,"The water company in Sidmouth said the mass could have been growing for up to three years, fed on wet wipes and grease from fish and chips.","LONDON — The waterfront of Sidmouth, a sleepy coastal town in southwestern England, looks serene even on a winter’s afternoon. But a monster lurks beneath the calm: a mass of fat, oil and wet wipes extending for at least 210 feet.",Sewers and Sewage,News,"london, waterfront, sidmouth","['london', 'waterfront', 'sidmouth', 'town', 'england', 'winter', '’', 'afternoon', 'monster', 'calm', 'mass', 'oil', 'wet', 'wipe', 'foot']","water, company, sidmouth","['water', 'compani', 'sidmouth', 'mass', 'year', 'wet', 'wipe', 'greas', 'chip']","210, foot, fatberg","['fatberg', 'block', 'sewer', 'seasid', 'town']"
"Schumer and Pelosi, Responding to Trump’s Speech, Call to Reopen Government",The Democratic leaders dismissed the president’s address making a case for a border wall as riddled with misinformation and fear-mongering.,"WASHINGTON — Democratic congressional leaders called on President Trump on Tuesday to reopen the federal government while they resolve differences with him over securing the southern border, in a formal response to his prime-time address from the Oval Office that they dismissed as riddled with misinformation and fear-mongering.",Speeches and Statements,News,"washington, democratic, congressional","['washington', '—', 'leader', 'presid', 'trump', 'tuesday', 'govern', 'differ', 'border', 'respons', 'primetim', 'address', 'offic', 'misinform', 'fearmong']","democratic, leader, dismissed","['leader', 'presid', '’', 'address', 'case', 'border', 'wall', 'misinform', 'fearmong']","schumer, pelosi, responding","['schumer', 'pelosi', '’', 'govern']"
"Far-Right, Anti-immigrant Vox Party Gains a Toehold in Spain","Riding anti-immigrant sentiment and opposition to separatism, the nationalist Vox party is emerging as a potential force in Spanish politics.","MADRID — Four decades after Spain transitioned from Franco’s dictatorship to democracy, the country’s far right has found its voice again in the nationalist, anti-immigrant Vox party.",Politics and Government,News,"madrid, four, decade","['—', 'decad', 'spain', '’', 'dictatorship', 'countri', '’', 'voic', 'nationalist', 'vox', 'parti']","riding, anti, immigrant","['sentiment', 'opposit', 'nationalist', 'vox', 'parti', 'forc', 'polit']","far, right, anti","['farright', 'antiimmigr', 'vox', 'parti', 'gain', 'toehold', 'spain']"
How to Sweat-Proof Your Wedding Day,"Excessive perspiration can ruin anyone’s walk down the aisle. With new medical treatments and prescription drugs, staying cool on your wedding day just got easier.","Lynne Goldberg always remembers to bring deodorant and antiperspirants to the weddings she plans. “Very often I have someone who says, ‘I’m sweating like crazy. What am I going to do?’” said Ms. Goldberg, who is the owner of Ms Wedding Planner in Boca Raton, Fla.",Sweating,News,"goldberg, wedding, m","['lynn', 'goldberg', 'rememb', 'deodor', 'antiperspir', 'wed', 'someon', '‘', '’', '”', 'goldberg', 'owner', 'm', 'wed', 'planner', 'boca', 'raton', 'fla']","excessive, perspiration, ruin","['perspir', 'anyon', '’', 'aisl', 'treatment', 'prescript', 'drug', 'cool', 'wed', 'day']","sweat, proof, wedding","['wed', 'day']"
"In His First Supreme Court Opinion, Justice Brett Kavanaugh Favors Arbitration","Writing for a unanimous court, Justice Kavanaugh said that arbitrators rather than judges must decide whether disputes should be arbitrated.","WASHINGTON — Justice Brett M. Kavanaugh issued his first Supreme Court opinion on Tuesday, writing for a unanimous court in a minor arbitration case. His eight-page opinion was crisp and clear.",Supreme Court (US),News,"court, opinion, washington","['washington', '—', 'justic', 'brett', 'court', 'opinion', 'tuesday', 'court', 'arbitr', 'case', 'eightpag', 'opinion']","writing, unanimous, court","['court', 'justic', 'kavanaugh', 'arbitr', 'judg', 'disput']","first, supreme, court","['court', 'opinion', 'justic', 'favor', 'arbitr']"
